,customer_id,age,income,purchase_amount,gender,region,total_purchases,preferred_product_category,customer_loyalty_score,signup_date,last_purchase_date,customer_days,customer_segment,age_segment,clv_segment
1,2,69.0,50200.0,252.2146926448812,Male,North,27.0,Toys,14.402035805169955,2022-03-14,2022-07-03,111 days,Very New,Very Old,
4,5,60.0,112300.0,1528.118234903052,Female,West,6.0,Clothing,28.89378505717169,2021-04-21,2021-06-02,42 days,Very New,old,High
5,6,25.0,62000.0,1024.023199639328,Male,West,5.0,Home & Garden,14.360272565471144,2021-11-18,2023-07-06,595 days,Regular,young,Medium
6,7,78.0,90500.0,1283.045711614864,Female,East,27.0,Home & Garden,48.22122817562094,2022-06-11,2023-02-01,235 days,New,Very Old,Medium
7,8,38.0,81000.0,1970.645619079536,Male,East,8.0,Clothing,70.9528063576598,2021-06-26,2022-12-21,543 days,Regular,mid,High
8,9,56.0,114300.0,1540.650761920155,Female,East,9.0,Clothing,61.2402908102972,2022-11-05,2023-05-30,206 days,Very New,old,High
9,10,75.0,83600.0,880.0357663196111,Female,West,15.0,Toys,95.11081820826126,2022-07-05,2022-11-13,131 days,Very New,Very Old,Low
10,11,36.0,56300.0,903.9550051571664,Male,North,36.0,Toys,81.77778839716281,2022-06-22,2023-02-08,231 days,New,mid,Low
13,14,28.0,109600.0,1011.4076331566092,Female,East,32.0,Home & Garden,32.727519333145004,2022-07-17,2022-08-24,38 days,Very New,young,Medium
15,16,70.0,103600.0,66.59433893991556,Female,West,47.0,Health,43.90530399513951,2021-04-08,2023-05-21,773 days,Loyal,Very Old,
18,19,41.0,114500.0,275.76540158135856,Female,East,19.0,Toys,52.78742078895624,2021-06-19,2021-12-22,186 days,Very New,mid,
19,20,20.0,64900.0,217.1020953613748,Male,North,39.0,Health,59.42535671999188,2021-02-25,2022-07-25,515 days,Regular,young,
20,21,39.0,30200.0,1214.3204879170416,Female,West,6.0,Toys,56.87856826541749,2021-11-21,2022-07-27,248 days,New,mid,Medium
21,22,70.0,68400.0,1056.7290833621712,Male,South,19.0,Health,11.654836343355402,2022-10-20,2023-03-28,159 days,Very New,Very Old,Medium
22,23,19.0,29900.0,522.0965516528111,Female,West,28.0,Health,56.99873195387431,2021-09-17,2023-12-30,834 days,Loyal,young,Low
24,25,61.0,84100.0,994.6199840611685,Female,North,42.0,Electronics,66.3714165451469,2022-07-16,2023-02-22,221 days,New,old,Low
25,26,47.0,78000.0,406.1177812684593,Female,East,19.0,Clothing,42.93839966655334,2021-12-06,2023-06-28,569 days,Regular,mid,
